"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.31510309493405e-05,8,93,12.6625833673608,"GO:0005604 Basement membrane ","https://amigo.geneontology.org/amigo/term/GO:0005604"," NTN4  LAMC2  ACHE  TIMP3  ACTA2  TGFBI  LOXL2  LAMB3"
4.31510309493405e-05,50,3619,2.03374594702362,"GO:0005615 Extracellular space ","https://amigo.geneontology.org/amigo/term/GO:0005615"," BAX  ICAM1  UPK3A  SLC5A5  ACTA2  TGFBI  C3  APOE  GDF15  RFTN1  KRT7  LCN2  BTG2  S100A9  PSCA  KLK6  ANGPTL4  KRT86  KRT83  GLRX  GAS6  ALDH1A3  KRT16  AKR1C1  AKR1C3  CYSRT1  H3C4  TGM2  KRT81  PSMB9  H4C5  EDN1  LXN  TIMP3  CCL22  EDN2  LIF  VGF  LOXL2  IGFBP3  CREG2  TSKU  CSF1  TNF  CCL5  IL32  LAMC2  ACHE  FGF22  HMOX1"
4.31510309493405e-05,15,448,4.92865619349005,"GO:0062023 Collagen-containing extracellular matrix ","https://amigo.geneontology.org/amigo/term/GO:0062023"," LAMC2  ICAM1  TIMP3  TGFBI  APOE  GDF15  LOXL2  S100A9  LAMB3  L1CAM  TGM2  NTN4  ANGPTL4  ACHE  ACTA2"
0.000186019220186469,16,595,3.95838740559515,"GO:0030312 External encapsulating structure ","https://amigo.geneontology.org/amigo/term/GO:0030312"," LAMC2  ICAM1  TIMP3  TGFBI  APOE  GDF15  LOXL2  S100A9  LAMB3  L1CAM  TGM2  NTN4  ADAMTS7  ANGPTL4  ACHE  ACTA2"
0.000186019220186469,16,594,3.96505135745642,"GO:0031012 Extracellular matrix ","https://amigo.geneontology.org/amigo/term/GO:0031012"," LAMC2  ICAM1  TIMP3  TGFBI  APOE  GDF15  LOXL2  S100A9  LAMB3  L1CAM  TGM2  NTN4  ADAMTS7  ANGPTL4  ACHE  ACTA2"
0.00105317366969911,54,4675,1.70030731740337,"GO:0005576 Extracellular region ","https://amigo.geneontology.org/amigo/term/GO:0005576"," BAX  ICAM1  UPK3A  SLC5A5  ACTA2  TGFBI  C3  APOE  GDF15  RFTN1  KRT7  LCN2  BTG2  S100A9  PSCA  KLK6  ANGPTL4  KRT86  KRT83  GLRX  GAS6  ALDH1A3  KRT16  AKR1C1  AKR1C3  CYSRT1  H3C4  TGM2  KRT81  PSMB9  H4C5  EDN1  LXN  TIMP3  CCL22  EDN2  LIF  VGF  LOXL2  IGFBP3  CREG2  TSKU  CSF1  TNF  CCL5  ACHE  IL32  LAMC2  FGF22  NTN4  OAS1  ADAMTS7  LAMB3  HMOX1"
0.00105317366969911,3,9,49.0675105485232,"GO:0043256 Laminin complex ","https://amigo.geneontology.org/amigo/term/GO:0043256"," NTN4  LAMC2  LAMB3"
0.0147340042802778,9,331,4.00248575471337,"GO:0005788 Endoplasmic reticulum lumen ","https://amigo.geneontology.org/amigo/term/GO:0005788"," SELENOM  EDN1  C3  VGF  APOE  ADAMTS7  IGFBP3  GAS6  CSF1"
0.0147340042802778,6,142,6.21982528079872,"GO:0045095 Keratin filament ","https://amigo.geneontology.org/amigo/term/GO:0045095"," KRT7  KRT80  KRT86  KRT83  KRT16  KRT81"
0.0483317832353395,7,250,4.12167088607595,"GO:0032993 Protein-dna complex ","https://amigo.geneontology.org/amigo/term/GO:0032993"," DDIT3  NUPR1  H3C4  TGM2  H4C5  H1-2  H2BC17"
