"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.17056289012619e-11,50,2165,3.39959657380068,"GO:0009888 Tissue development ","https://amigo.geneontology.org/amigo/term/GO:0009888"," NTN4  SOX9  KRT7  PGM5  KRT80  KRT86  KRT83  MAF  KRT16  KRT81  EDA2R  EDN1  UPK3A  SNAI1  LIF  LOXL2  ADAMTS7  ATOH8  GAS6  AKR1C1  CYSRT1  TRIM16  TNF  BAX  CA9  FHL2  EPAS1  ID3  TGFBI  CDKN1A  C3  KLF2  CYP1A1  BTG2  ATF3  CHST11  NUPR1  ALDH1A3  CSF1  LAMB3  SELENOM  TGM2  ACTA2  AKR1C3  ICAM1  STRA6  AMER2  TSKU  LAMC2  AQP3"
5.27353792076581e-09,71,4782,2.18556665554903,"GO:0030154 Cell differentiation ","https://amigo.geneontology.org/amigo/term/GO:0030154"," HES2  FGF22  NTN4  ID3  SOX9  LIF  KRT7  PGM5  S100A9  KRT80  KRT86  KRT83  MAF  CSF1  KRT16  NANOS1  SIGLEC15  KRT81  ZNF488  EDA2R  EDN1  UPK3A  SNAI1  APOE  LOXL2  ADAMTS7  IGFBP3  ATOH8  RND1  GAS6  AKR1C1  L1CAM  TGM2  TRIM16  TNF  H4C5  PPP2R5B  BAX  ZNF423  RELB  NOVA2  FHL2  EPAS1  TGFBI  CDKN1A  C3  EDN2  KLF2  ARHGAP22  GDF15  DTX1  CYP1A1  DUSP15  SLC45A3  BTG2  ATF3  KLK6  CHST11  DDIT3  NUPR1  TSKU  PAQR7  LAMB3  CYP24A1  ACHE  DHRS2  ACTA2  AKR1C3  ICAM1  DDIT4  AQP3"
5.27353792076581e-09,71,4783,2.18510971081653,"GO:0048869 Cellular developmental process ","https://amigo.geneontology.org/amigo/term/GO:0048869"," HES2  FGF22  NTN4  ID3  SOX9  LIF  KRT7  PGM5  S100A9  KRT80  KRT86  KRT83  MAF  CSF1  KRT16  NANOS1  SIGLEC15  KRT81  ZNF488  EDA2R  EDN1  UPK3A  SNAI1  APOE  LOXL2  ADAMTS7  IGFBP3  ATOH8  RND1  GAS6  AKR1C1  L1CAM  TGM2  TRIM16  TNF  H4C5  PPP2R5B  BAX  ZNF423  RELB  NOVA2  FHL2  EPAS1  TGFBI  CDKN1A  C3  EDN2  KLF2  ARHGAP22  GDF15  DTX1  CYP1A1  DUSP15  SLC45A3  BTG2  ATF3  KLK6  CHST11  DDIT3  NUPR1  TSKU  PAQR7  LAMB3  CYP24A1  ACHE  DHRS2  ACTA2  AKR1C3  ICAM1  DDIT4  AQP3"
1.05773802722949e-08,34,1314,3.80889351289906,"GO:0060429 Epithelium development ","https://amigo.geneontology.org/amigo/term/GO:0060429"," SOX9  KRT7  KRT80  KRT86  KRT83  MAF  KRT16  KRT81  UPK3A  LIF  ATOH8  AKR1C1  CYSRT1  TRIM16  TNF  NTN4  EDN1  BAX  CA9  EPAS1  ID3  SNAI1  CDKN1A  C3  KLF2  CYP1A1  ALDH1A3  CSF1  TGM2  ACTA2  AKR1C3  ICAM1  STRA6  AQP3"
1.52501083248639e-08,60,3758,2.35022668939174,"GO:0010646 Regulation of cell communication ","https://amigo.geneontology.org/amigo/term/GO:0010646"," HMOX1  FGF22  FHL2  VGF  SESN2  EDA2R  IGFBP3  SSTR5  DHRS3  AMER2  PLEKHF1  DDIT4  PHLDA3  TMEM198  TNF  ACHE  DDIT3  EDN1  ICAM1  GADD45A  C3  EDN2  KLF2  LIF  APOE  GDF15  OASL  S100A9  PSCA  KLK6  ATOH8  GAS6  CSF1  AKR1C3  TRIM16  CCL5  PPP2R5B  LMCD1  BAX  ZNF423  ACTA2  SOX9  RGS16  ATF3  BEST1  BDKRB2  CHST11  TSKU  SORCS2  PRR5  DTX1  OAS1  BBC3  SNAI1  IRAK2  ADCY5  NUPR1  MGLL  TGM2  ARHGAP22"
1.52501083248639e-08,60,3753,2.35335782007306,"GO:0023051 Regulation of signaling ","https://amigo.geneontology.org/amigo/term/GO:0023051"," HMOX1  FGF22  FHL2  VGF  SESN2  EDA2R  IGFBP3  SSTR5  DHRS3  AMER2  PLEKHF1  DDIT4  PHLDA3  TMEM198  TNF  ACHE  DDIT3  EDN1  ICAM1  GADD45A  C3  EDN2  KLF2  LIF  APOE  GDF15  OASL  S100A9  PSCA  KLK6  ATOH8  GAS6  CSF1  AKR1C3  TRIM16  CCL5  PPP2R5B  LMCD1  BAX  ZNF423  ACTA2  SOX9  RGS16  ATF3  BEST1  BDKRB2  CHST11  TSKU  SORCS2  PRR5  DTX1  OAS1  BBC3  SNAI1  IRAK2  ADCY5  NUPR1  MGLL  TGM2  ARHGAP22"
1.52501083248639e-08,55,3241,2.49803740836357,"GO:0035556 Intracellular signal transduction ","https://amigo.geneontology.org/amigo/term/GO:0035556"," HMOX1  FGF22  BAX  CDIP1  RELB  BBC3  FHL2  SESN2  EDA2R  IRAK2  DHRS3  PLEKHF1  DDIT4  PHLDA3  DDIT3  AEN  PRR5  TNF  EDN1  GADD45A  CDKN1A  SOX9  EDN2  KLF2  LIF  APOE  GDF15  OASL  S100A9  PSCA  ATOH8  GAS6  RPS27L  AKR1C3  TRIM16  CCL5  LMCD1  ACTA2  RASD1  IGFBP3  ATF3  BDKRB2  RND1  ADCY5  NUPR1  CSF1  OAS1  ICAM1  SNAI1  RFTN1  TGM2  CYP24A1  FOSL1  MAF  ARHGAP22"
1.7775384884024e-08,11,93,17.4110521301211,"GO:0072332 Intrinsic apoptotic signaling pathway by p53 class mediator ","https://amigo.geneontology.org/amigo/term/GO:0072332"," CDIP1  PHLDA3  AEN  RPS27L  BAX  BBC3  CDKN1A  EDA2R  DDIT4  BDKRB2  NUPR1"
7.32865832743407e-08,54,3304,2.40585251478837,"GO:0009966 Regulation of signal transduction ","https://amigo.geneontology.org/amigo/term/GO:0009966"," HMOX1  FGF22  FHL2  SESN2  EDA2R  IGFBP3  DHRS3  AMER2  PLEKHF1  DDIT4  PHLDA3  TMEM198  TNF  DDIT3  EDN1  ICAM1  GADD45A  C3  EDN2  KLF2  LIF  APOE  GDF15  OASL  S100A9  PSCA  KLK6  ATOH8  GAS6  CSF1  AKR1C3  TRIM16  CCL5  PPP2R5B  LMCD1  BAX  ZNF423  ACTA2  SOX9  RGS16  ATF3  BDKRB2  CHST11  TSKU  PRR5  DTX1  OAS1  BBC3  SNAI1  IRAK2  NUPR1  MGLL  TGM2  ARHGAP22"
7.32865832743407e-08,31,1227,3.71905336675848,"GO:1902533 Positive regulation of intracellular signal transduction ","https://amigo.geneontology.org/amigo/term/GO:1902533"," HMOX1  FGF22  EDA2R  PLEKHF1  TNF  DDIT3  EDN1  GADD45A  EDN2  KLF2  LIF  GDF15  SESN2  OASL  S100A9  ATOH8  GAS6  AKR1C3  TRIM16  CCL5  LMCD1  BAX  ACTA2  IGFBP3  CSF1  PRR5  ICAM1  BBC3  APOE  NUPR1  TGM2"
