"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CDKN1A",7470.8241453677,2.05101332716205,0.141739266685516,14.4703255147547,1.86587046399299e-47,2.7420832338841e-43
"HMOX1",289.218387343603,2.14970085457873,0.17042971816798,12.6134155339031,1.78103688990682e-36,1.30870590670353e-32
"GDF15",3459.54828791046,2.86819596310515,0.243195975459395,11.7937640936991,4.20325979661927e-32,2.05903686570389e-28
"TIMP3",518.361584592757,1.76155230723276,0.157217076472412,11.2045863385704,3.87158099607879e-29,1.42241885795935e-25
"TRIM16",936.055919582469,1.26244707066629,0.116634352872817,10.8239728653779,2.65033997835598e-27,7.78987926438389e-24
"TUBA1B",13935.4309082348,-1.09489345072241,0.105572629997174,-10.3709972059208,3.35999915226181e-25,8.2297579236066e-22
"ABCC3",757.470850917396,1.45669485567886,0.142501287910097,10.2223276508061,1.57512453955371e-24,3.30686146189733e-21
"SKA3",213.145441336516,-1.79007960049416,0.176919372651806,-10.1180530637377,4.59464036808698e-24,8.44035435617578e-21
"CCNA2",473.426460537843,-1.61103369504903,0.160662763808258,-10.027424257258,1.15490023435557e-23,1.88582376045439e-20
"CENPN",814.647165791483,-1.15941439242105,0.119585601120143,-9.69526750345334,3.15809013208428e-22,4.64112925811106e-19
"KPNA2",2499.69830863593,-1.62414845717509,0.170942726993512,-9.50112640496685,2.07632038899944e-21,2.77396403970325e-18
"TSKU",1174.67214595004,1.10996292048385,0.118581868850421,9.36030888401631,7.9503923347676e-21,9.73658047931205e-18
"RFC3",570.768020272647,-1.25266937707017,0.134836253739369,-9.29030095638451,1.53852674709214e-20,1.73924531348201e-17
"MCM3",1974.05858920983,-0.95051816421095,0.104948971730289,-9.05695547597844,1.34142328780247e-19,1.40811118839608e-16
"ADCY5",797.398749345447,1.19188240404407,0.131861225039273,9.03891499331276,1.58234547714571e-19,1.55027660880889e-16
"GINS2",778.099988508481,-1.17112821902816,0.130446269604532,-8.97785902639162,2.76086522846443e-19,2.53585471234458e-16
"ARL6IP1",2741.80733482816,-1.04752637112956,0.117136162071594,-8.94280939893962,3.79399771324845e-19,3.27979943493525e-16
"CYP1A1",45.4219255464572,4.25918210339768,0.478637482205351,8.89855529862235,5.65782982479117e-19,4.61930372806284e-16
