"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.5434580335114e-52,352,4670,2.18859616058086,"GO:0005654 Nucleoplasm ","https://amigo.geneontology.org/amigo/term/GO:0005654"," CHAF1B  IBTK  POLR2B  TAF2  FAM76B  PALB2  HECTD1  SUPT16H  CDC45  HIPK3  CCNT1  GINS2  PNISR  USPL1  ARHGAP32  ORC3  MBNL2  GINS4  TAF5  MBNL1  TRIP12  EMSY  MORC3  CENPN  CDK12  MGA  ZBTB33  SUZ12  RMI1  LIN9  ZBTB6  TAF9B  KPNA5  TOPORS  MIER1  DENND1B  PPP4R3B  RECQL  CDC27  ZFX  DBF4  HEATR5B  BAZ1B  NCAPD2  ANLN  BRCA1  MRE11  AQR  BCLAF1  CENPQ  ARID4A  RFC1  ZZZ3  MTREX  USP28  POLQ  INTS13  PKN2  MCM10  ZBTB11  ARFGEF1  TP53BP1  PSME4  RAD18  ATP2B1  HLTF  SMC1A  ZNF638  MCM6  SPAG5  TOP2B  POLD3  PCM1  THOC1  SENP1  EPB41L2  PUM3  HSP90AA1  RBL1  NDC80  XPO1  DIS3  PDS5B  REST  NCOA1  ATRX  HACE1  MTIF2  ORC1  RAD54L  IPO11  TPX2  KIF4A  CLSPN  NUP50  CDC6  CBX5  MSH2  BTAF1  CDC5L  JAK2  CDC7  POLE2  HIF1A  ZC3H14  PNN  POLI  RBBP8  POLA1  AMMECR1  STAG2  CENPI  PARP4  OIP5  NBN  TRPS1  EIF3A  SMC3  SHOC2  CUL2  DHX15  NEIL3  CAPRIN2  CAND1  FBXO5  MDN1  ZNF451  ERBIN  PPWD1  TCERG1  SMC4  KAT2B  ECT2  EHBP1  SF3B1  TAF1B  ATF2  MSH6  BLZF1  DARS2  NEK2  CENPF  MYB  KLF12  ATAD2B  MASTL  HSPH1  NCAPH  PDS5A  SHLD2  TRIM24  STIL  HJURP  CSE1L  NUP153  DEK  NSRP1  POT1  HAT1  ICE2  E2F8  SGO1  SYNE1  TOP2A  PRKAA1  XPO4  CLOCK  TPP2  USP15  GCC2  WASHC4  SETDB2  BRIP1  KAT7  SMC2  NCBP1  DSCC1  CTDSPL2  SLTM  KIF23  KNL1  KIF20B  DNA2  BARD1  ITPRID2  SCAF11  NEDD1  BRCA2  RB1  NCOA2  FANCI  TICRR  NCOR1  NUF2  DTL  INTS7  LNPK  CDCA7  FANCD2  GOLGA4  CENPC  CCNA2  DDX46  MMS22L  ARHGAP18  NCAPG2  ZNF462  MKI67  CHEK1  DSN1  THRB  NEK7  NCAPD3  CENPU  UHMK1  DCLRE1C  PLEKHH2  RANBP2  AHCTF1  GABPA  AK9  CDK19  RNF20  ATAD2  SMG1  UBN2  CUL4B  SON  RACGAP1  MYSM1  USP1  SMC6  SMARCAD1  CWC22  PTPN13  U2SURP  TOPBP1  ZNF148  PBRM1  NAA15  ICE1  NIPBL  ZNF12  RAD21  VIRMA  WASHC5  ZNF367  BMS1  E2F7  LEO1  FAM111A  RBPJ  NMD3  BUB1  MAP3K2  CDK1  FOXN2  ESCO2  ATF7IP  SLFN11  NOC3L  PHC3  EXO1  LARP7  NR1D2  DHX36  ATR  HASPIN  AURKB  NRIP1  KPNA2  TTC3  SLC8A1  ZNF438  CDCA2  PARPBP  MYBL1  ARID2  IARS1  PRPF40A  XRCC2  MYO6  NF1  BLM  DDI2  WDHD1  OPA1  PRC1  DCLRE1A  IPO7  RIMOC1  DDX3X  PRKDC  ZNF260  ZBED6  ZNF224  PIAS1  RBM27  ZNF106  NR5A2  THOC2  LRPPRC  UTP20  E2F2  POLR3B  TPR  PPP1R12A  CCAR1  THUMPD1  MAPK6  KDM5A  GTSE1  RRN3  PTPN4  INTS2  RAD51AP1  MED23  MSH3  WDR75  TTF2  HEATR1  MED13L  CENPK  MCM8  MIS18BP1  FIGNL1  RFC3  PRKACB  ARID5B  CWF19L2  SUV39H2  CHD1  EME1  USP16  BACH1  KAT6B  CDC25C  USP24  REL  CDC25A  CPSF2  COPS2  TET2  MSL2  UBE2C  CCNE2  ERCC4  GEN1  MED14  FANCB  LIN54  PRIM1"
8.32495805952152e-44,211,2160,2.83640703749942,"GO:0005694 Chromosome ","https://amigo.geneontology.org/amigo/term/GO:0005694"," MRE11  MCM6  ORC1  CBX5  MSH2  NBN  POT1  HAT1  ORC3  CDK1  PRKDC  RECQL  ZFX  BAZ1B  NCAPD2  PIAS1  SPDL1  MCM10  TRIP13  SMC1A  KDM5A  CLASP1  POLD3  RBL1  NDC80  PDS5B  ATRX  SUPT16H  POLE2  SMCHD1  POLA1  STAG2  CENPI  OIP5  SMC3  NCAPG  TTK  KAT2B  CENPF  HELLS  NCAPH  PDS5A  SHLD2  TRIM24  HJURP  BAZ2B  MIS18BP1  GINS2  RFC3  KAT7  SMC2  DSCC1  ZGRF1  RB1  NCOR1  NUF2  FANCD2  MMS22L  NCAPG2  GINS4  MKI67  DSN1  NCAPD3  SPC25  CHD1  SKA1  RNF20  KAT6B  BUB1B  SMC6  PBRM1  RAD21  SKA3  FAM111A  BUB1  ESCO2  MTBP  MGA  ZWILCH  MSL2  ATR  CKAP5  SUZ12  RMI1  AURKB  KNTC1  CDCA2  PARPBP  FAM111B  SYCP2  XRCC2  BLM  PRIM1  WDHD1  BRCA1  UFL1  NUP160  RFC1  ZZZ3  POLR2B  TPR  POLQ  PPP1R12A  TAF2  TP53BP1  NUP133  NEDD4  RAD18  SPAG5  TOP2B  THOC1  PUM3  XPO1  NCOA1  CDC5L  HIF1A  RBBP8  TRPS1  RAD51AP1  NUP107  SMC4  SF3B1  ATF2  NEK2  DEK  THOC2  ICE2  SGO1  TOP2A  FIGNL1  CLOCK  EPC2  BRIP1  KNL1  LRPPRC  CENPE  BRCA2  KIF2C  INTS7  CENPC  TAF5  CHEK1  SUV39H2  AHCTF1  GABPA  MORC3  CHAF1B  SMARCAD1  CIP2A  TOPBP1  ICE1  BMS1  PRDM10  SLFN11  DHX36  ERCC4  ATAD5  NRIP1  FANCB  TAF9B  ARID2  NOL8  PPP4R3B  CENPQ  ZFR  KIF4A  CDC45  JAK2  NEIL3  BIRC2  MSH6  CNTRL  CENPK  MCM8  PRKAA1  SETDB2  NUSAP1  DNA2  PLK4  DTL  ADD3  CENPU  EME1  CLASP2  NIPBL  CENPN  TET2  HASPIN  ERCC6L  DDI2  PRC1  WDR76  E2F2  BBX  NR5A2  KLF12  E2F8  NCOA2  THRB  BACH1  REL  E2F7  RBPJ  FOXN2  NR1D2  ZBTB33  RFX7  ZBED6  ARID4A  FANCI  CLIP1"
2.70744533661734e-40,89,442,5.84665661136249,"GO:0098687 Chromosomal region ","https://amigo.geneontology.org/amigo/term/GO:0098687"," MRE11  MCM6  ORC1  CBX5  MSH2  NBN  POT1  HAT1  ORC3  CDK1  PRKDC  NCAPD2  SPDL1  CLASP1  NDC80  ATRX  CENPI  OIP5  TTK  CENPF  HELLS  HJURP  MIS18BP1  DSCC1  NUF2  DSN1  NCAPD3  SPC25  SKA1  BUB1B  SKA3  BUB1  MTBP  ZWILCH  CKAP5  AURKB  KNTC1  SYCP2  ATR  NUP160  POLR2B  TPR  PPP1R12A  TP53BP1  NUP133  SMC1A  SPAG5  THOC1  XPO1  SMCHD1  NUP107  NEK2  THOC2  SGO1  KNL1  CENPE  BRCA2  KIF2C  CENPC  CHEK1  AHCTF1  SMC6  DHX36  ERCC4  BLM  BAZ1B  CENPQ  STAG2  SMC3  NCAPG  RAD51AP1  SMC4  KAT2B  CENPK  TOP2A  KAT7  DNA2  CENPU  SUV39H2  CLASP2  RAD21  CENPN  ESCO2  ERCC6L  PBRM1  ARID2  PDS5B  PDS5A  CLIP1"
9.14438067951278e-37,162,1532,3.07040807345909,"GO:0015630 Microtubule cytoskeleton ","https://amigo.geneontology.org/amigo/term/GO:0015630"," SPDL1  OFD1  MPHOSPH9  CLASP1  GTSE1  PCM1  DNM1L  KIZ  KIF16B  KIF4A  KIAA0586  CEP192  KATNAL1  CCP110  ALMS1  SSX2IP  NEK2  CENPF  KIF14  CAMSAP2  CNTRL  IFT81  TUBA1B  STIL  DLGAP5  MACF1  AKAP9  ROCK2  HOOK1  CKAP2  CDK5RAP2  NUSAP1  KIF23  KIF11  KIF20B  CENPE  KIF21A  NEDD1  CLTC  KIF2C  CCNA2  CEP78  CENPJ  SKA1  TBC1D31  SASS6  CCNB2  RACGAP1  CLASP2  SPICE1  KIF15  SKA3  CEP295  C2CD3  CEP120  CKAP2L  KIF5B  CEP83  CEP135  CKAP5  CCNE2  CCDC14  RTTN  AURKB  CEP63  CEP57L1  KNTC1  KIF24  XRCC2  TOPORS  OPA1  PRC1  CDC27  TPR  FNIP2  PPP1R12A  WNK1  PKN2  ASPM  RAD18  SMC1A  HMMR  SPAG5  NDC80  ERC1  TPX2  CDC45  CDC6  CDC7  DAAM1  MIB1  STAG2  PARP4  ANKRD26  SMC3  CAPRIN2  MDM1  C2CD5  FBXO5  RAB23  KAT2B  ECT2  WDR11  MASTL  USP9X  RIBC2  MTUS1  SGO1  CLIP1  TOP2A  PATJ  CEP350  MARCHF7  LRPPRC  MYOF  CEP55  GAS2L3  BRCA2  IQGAP1  NCOR1  PLK4  PRKACB  DTL  EML4  ARHGAP18  CHEK1  NEK7  CENPU  BUB1B  RAPGEF6  ZNF12  LEO1  CDK1  HASPIN  GEN1  PIK3R4  CD2AP  ITSN2  PJA2  DDX3X  ZBED6  PPP4R3B  ROCK1  EIF3A  EHBP1  HSPH1  BORA  TTLL7  RB1  SMC6  TOPBP1  RAD21  PDCD6IP  SHCBP1  FIGN  TAOK1  BRCA1  ZZZ3  DSN1  ZWILCH  TTK  USO1"
2.64584999394037e-35,69,296,6.76857475452981,"GO:0000793 Condensed chromosome ","https://amigo.geneontology.org/amigo/term/GO:0000793"," NCAPD2  SPDL1  CLASP1  NDC80  CENPI  NCAPG  TTK  SMC2  NUF2  FANCD2  DSN1  NCAPD3  SPC25  SKA1  BUB1B  SMC6  SKA3  BUB1  MTBP  ZWILCH  CKAP5  AURKB  KNTC1  SYCP2  BRCA1  NUP160  TPR  PPP1R12A  NUP133  SMC1A  SPAG5  XPO1  NUP107  NEK2  CENPF  HJURP  SGO1  KNL1  LRPPRC  CENPE  BRCA2  KIF2C  CENPC  MKI67  CHEK1  AHCTF1  BLM  BAZ1B  TP53BP1  ATRX  CBX5  SMC3  SMC4  KAT2B  NCAPH  CENPK  TOP2A  NCAPG2  ADD3  CENPU  CLASP2  TOPBP1  RAD21  CENPN  ERCC6L  CENPQ  PBRM1  ARID2  CLIP1"
2.73366805792588e-35,67,278,6.99793423688016,"GO:0000775 Chromosome centromeric region ","https://amigo.geneontology.org/amigo/term/GO:0000775"," NCAPD2  SPDL1  CLASP1  NDC80  ATRX  CBX5  CENPI  OIP5  TTK  CENPF  HELLS  HJURP  MIS18BP1  DSCC1  NUF2  DSN1  NCAPD3  SPC25  SKA1  BUB1B  SKA3  BUB1  MTBP  ZWILCH  CKAP5  AURKB  KNTC1  SYCP2  NUP160  TPR  PPP1R12A  NUP133  SMC1A  SPAG5  XPO1  NUP107  NEK2  SGO1  KNL1  CENPE  KIF2C  CENPC  AHCTF1  BAZ1B  CENPQ  TP53BP1  STAG2  SMC3  NCAPG  SMC4  KAT2B  CENPK  TOP2A  KAT7  CENPU  SUV39H2  SMC6  CLASP2  RAD21  CENPN  ESCO2  ERCC6L  PBRM1  ARID2  PDS5B  PDS5A  CLIP1"
4.30489495097028e-32,107,802,3.87390761548065,"GO:0005813 Centrosome ","https://amigo.geneontology.org/amigo/term/GO:0005813"," OFD1  PCM1  KIZ  CEP192  ALMS1  SSX2IP  NEK2  IFT81  STIL  DLGAP5  AKAP9  ROCK2  HOOK1  CDK5RAP2  NEDD1  KIF2C  CCNA2  CEP78  CENPJ  TBC1D31  SASS6  CCNB2  SPICE1  CEP295  C2CD3  CEP120  CKAP2L  CEP83  CEP135  CKAP5  CCNE2  CCDC14  AURKB  CEP57L1  XRCC2  CDC27  MPHOSPH9  FNIP2  PPP1R12A  PKN2  RAD18  HMMR  CLASP1  NDC80  ERC1  CDC45  KIAA0586  MIB1  CCP110  ANKRD26  CAPRIN2  MDM1  C2CD5  RAB23  KAT2B  CAMSAP2  CNTRL  MASTL  USP9X  SGO1  CLIP1  PATJ  CEP350  CKAP2  MARCHF7  KIF23  MYOF  CEP55  KIF20B  BRCA2  PLK4  PRKACB  DTL  CHEK1  CENPU  SKA1  RAPGEF6  ZNF12  SKA3  LEO1  CDK1  KIF5B  RTTN  HASPIN  GEN1  CEP63  KIF24  CD2AP  ITSN2  PJA2  DDX3X  ZBED6  PPP4R3B  SPDL1  ASPM  SPAG5  KATNAL1  ECT2  CENPF  MTUS1  NEK7  BUB1B  CLASP2  TOPBP1  PDCD6IP  FIGN  KIF15"
3.09860830935177e-31,116,953,3.53431243474513,"GO:0005815 Microtubule organizing center ","https://amigo.geneontology.org/amigo/term/GO:0005815"," OFD1  MPHOSPH9  CLASP1  PCM1  KIZ  KIAA0586  CEP192  CCP110  ALMS1  SSX2IP  NEK2  CNTRL  IFT81  STIL  DLGAP5  AKAP9  ROCK2  HOOK1  CDK5RAP2  NEDD1  KIF2C  CCNA2  CEP78  CENPJ  TBC1D31  SASS6  CCNB2  CLASP2  SPICE1  CEP295  C2CD3  CEP120  CKAP2L  CEP83  CEP135  CKAP5  CCNE2  CCDC14  RTTN  AURKB  CEP63  CEP57L1  XRCC2  TOPORS  CDC27  FNIP2  PPP1R12A  PKN2  RAD18  HMMR  NDC80  ERC1  CDC45  DAAM1  MIB1  ANKRD26  CAPRIN2  MDM1  C2CD5  RAB23  KAT2B  CAMSAP2  WDR11  MASTL  USP9X  SGO1  CLIP1  TOP2A  PATJ  CEP350  CKAP2  MARCHF7  KIF23  MYOF  CEP55  KIF20B  BRCA2  PLK4  PRKACB  DTL  EML4  CHEK1  NEK7  CENPU  SKA1  RAPGEF6  ZNF12  SKA3  LEO1  CDK1  KIF5B  HASPIN  GEN1  KIF24  CD2AP  ITSN2  PJA2  DDX3X  ZBED6  PPP4R3B  SPDL1  ASPM  ROCK1  SPAG5  KATNAL1  ECT2  EHBP1  CENPF  MTUS1  BUB1B  TOPBP1  PDCD6IP  FIGN  BRCA1  USO1  KIF15"
1.02973529976399e-28,51,194,7.63322908220395,"GO:0000779 Condensed chromosome centromeric region ","https://amigo.geneontology.org/amigo/term/GO:0000779"," NCAPD2  SPDL1  CLASP1  NDC80  CENPI  TTK  NUF2  DSN1  NCAPD3  SPC25  SKA1  BUB1B  SKA3  BUB1  MTBP  ZWILCH  CKAP5  AURKB  KNTC1  SYCP2  NUP160  TPR  PPP1R12A  NUP133  SMC1A  SPAG5  XPO1  NUP107  NEK2  CENPF  HJURP  SGO1  KNL1  CENPE  KIF2C  CENPC  AHCTF1  TP53BP1  ATRX  CBX5  NCAPG  KAT2B  CENPK  CENPU  CLASP2  CENPN  ERCC6L  CENPQ  PBRM1  ARID2  CLIP1"
4.69330733673049e-25,46,182,7.33882097927042,"GO:0000776 Kinetochore ","https://amigo.geneontology.org/amigo/term/GO:0000776"," SPDL1  CLASP1  NDC80  CENPI  TTK  NUF2  DSN1  SPC25  SKA1  BUB1B  SKA3  BUB1  MTBP  ZWILCH  CKAP5  AURKB  KNTC1  NUP160  TPR  PPP1R12A  NUP133  SMC1A  SPAG5  XPO1  NUP107  NEK2  CENPF  HJURP  SGO1  KNL1  CENPE  KIF2C  CENPC  AHCTF1  TP53BP1  CBX5  KAT2B  CENPK  CENPU  CLASP2  CENPN  ERCC6L  CENPQ  PBRM1  ARID2  CLIP1"
