"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00289831893019334,5,38,19.3687541638907,"GO:0030280 Structural constituent of skin epidermis ","https://amigo.geneontology.org/amigo/term/GO:0030280"," KRT7  KRT80  KRT86  KRT83  KRT81"
0.00289831893019334,24,1321,2.67438361808756,"GO:0140677 Molecular function activator activity ","https://amigo.geneontology.org/amigo/term/GO:0140677"," PPP2R5B  FGF22  EDN1  CCL22  EDN2  LIF  VGF  ARHGAP22  APOE  GDF15  GAS6  CSF1  TNF  CCL5  CA9  CDKN1A  C3  RGS16  IGFBP3  RPS27L  NANOS1  IL32  DDIT3  NUPR1"
0.0037568132048205,22,1193,2.7145479431706,"GO:0046983 Protein dimerization activity ","https://amigo.geneontology.org/amigo/term/GO:0046983"," DDIT3  BAX  HMOX1  SLC5A5  EPAS1  GADD45A  GDF15  ALDH1A3  CSF1  HES2  ID3  ATOH8  H3C4  H2BC17  H4C5  MGLL  ACHE  APOE  IRAK2  ATF3  BDKRB2  CCL5"
0.00731007272796571,18,927,2.85830158535087,"GO:0005198 Structural molecule activity ","https://amigo.geneontology.org/amigo/term/GO:0005198"," KRT7  MALL  KRT80  KRT86  KRT83  RPS27L  KRT81  H4C5  KRT16  H1-2  H3C4  H2BC17  HMOX1  TGFBI  PGM5  LAMB3  LAMC2  APOE"
0.00731007272796571,4,32,18.4003164556962,"GO:0043425 Bhlh transcription factor binding ","https://amigo.geneontology.org/amigo/term/GO:0043425"," FHL2  ID3  SOX9  LMO2"
0.00787541184906482,14,639,3.22509459004378,"GO:0030546 Signaling receptor activator activity ","https://amigo.geneontology.org/amigo/term/GO:0030546"," FGF22  EDN1  CCL22  EDN2  LIF  VGF  GDF15  GAS6  CSF1  TNF  CCL5  C3  APOE  IL32"
0.00787541184906482,2,3,98.1350210970464,"GO:0031708 Endothelin b receptor binding ","https://amigo.geneontology.org/amigo/term/GO:0031708"," EDN1  EDN2"
0.00787541184906482,14,626,3.29206939782424,"GO:0048018 Receptor ligand activity ","https://amigo.geneontology.org/amigo/term/GO:0048018"," FGF22  EDN1  CCL22  EDN2  LIF  VGF  GDF15  GAS6  CSF1  TNF  CCL5  C3  APOE  IL32"
0.00787541184906482,2,3,98.1350210970464,"GO:0070576 Vitamin d 24-hydroxylase activity ","https://amigo.geneontology.org/amigo/term/GO:0070576"," CYP24A1  CYP1A1"
0.00787541184906482,33,2457,1.97707917961083,"GO:0098772 Molecular function regulator activity ","https://amigo.geneontology.org/amigo/term/GO:0098772"," PPP2R5B  FGF22  EDN1  LXN  TIMP3  CCL22  CCNP  CDKN1A  EDN2  LIF  VGF  ARHGAP22  APOE  CACNG6  GDF15  GEM  ANGPTL4  GAS6  CSF1  TNF  CCL5  CA9  C3  RGS16  IGFBP3  GLRX  RPS27L  NANOS1  IL32  ID3  SESN2  DDIT3  NUPR1"
0.00809530134037552,4,40,14.720253164557,"GO:0008106 Alcohol dehydrogenase (nadp+) activity ","https://amigo.geneontology.org/amigo/term/GO:0008106"," DHRS2  AKR1C1  AKR1C3  DHRS3"
0.0102701391792304,4,46,12.800220143093,"GO:0004033 Aldo-keto reductase (nadph) activity ","https://amigo.geneontology.org/amigo/term/GO:0004033"," DHRS2  AKR1C1  AKR1C3  DHRS3"
0.0102701391792304,14,688,2.99540035325287,"GO:0030545 Signaling receptor regulator activity ","https://amigo.geneontology.org/amigo/term/GO:0030545"," FGF22  EDN1  CCL22  EDN2  LIF  VGF  GDF15  GAS6  CSF1  TNF  CCL5  C3  APOE  IL32"
0.0102701391792304,5,80,9.2001582278481,"GO:0033293 Monocarboxylic acid binding ","https://amigo.geneontology.org/amigo/term/GO:0033293"," FABP6  AKR1C1  AKR1C3  ID3  S100A9"
0.0102701391792304,10,371,3.96772322494797,"GO:0046982 Protein heterodimerization activity ","https://amigo.geneontology.org/amigo/term/GO:0046982"," DDIT3  EPAS1  H3C4  H2BC17  H4C5  BAX  GADD45A  IRAK2  ATF3  BDKRB2"
0.0153042900434713,2,5,58.8810126582279,"GO:0031705 Bombesin receptor binding ","https://amigo.geneontology.org/amigo/term/GO:0031705"," EDN1  EDN2"
0.0153042900434713,2,5,58.8810126582279,"GO:0047086 Ketosteroid monooxygenase activity ","https://amigo.geneontology.org/amigo/term/GO:0047086"," AKR1C1  AKR1C3"
0.0215842746950351,2,6,49.0675105485232,"GO:0047024 5alpha-androstane-3beta,17beta-diol dehydrogenase activity ","https://amigo.geneontology.org/amigo/term/GO:0047024"," AKR1C1  AKR1C3"
0.0254794057503394,4,62,9.49693752552062,"GO:0018455 Alcohol dehydrogenase [nad(p)+] activity ","https://amigo.geneontology.org/amigo/term/GO:0018455"," DHRS2  DHRS3  AKR1C1  AKR1C3"
0.0259831809324093,14,780,2.64209672184356,"GO:0042803 Protein homodimerization activity ","https://amigo.geneontology.org/amigo/term/GO:0042803"," BAX  HMOX1  SLC5A5  GADD45A  GDF15  DDIT3  ALDH1A3  CSF1  MGLL  ACHE  APOE  IRAK2  ATF3  CCL5"
0.026593246303112,8,296,3.97844680123161,"GO:0005125 Cytokine activity ","https://amigo.geneontology.org/amigo/term/GO:0005125"," CCL22  LIF  GDF15  CSF1  TNF  CCL5  EDN1  IL32"
0.0326715966004502,2,8,36.8006329113924,"GO:0047023 Androsterone dehydrogenase activity ","https://amigo.geneontology.org/amigo/term/GO:0047023"," AKR1C1  AKR1C3"
0.0345370096644382,5,120,6.1334388185654,"GO:0004497 Monooxygenase activity ","https://amigo.geneontology.org/amigo/term/GO:0004497"," CYP24A1  HMOX1  CYP1A1  AKR1C1  AKR1C3"
0.0368007955930871,2,9,32.7116736990155,"GO:0001758 Retinal dehydrogenase activity ","https://amigo.geneontology.org/amigo/term/GO:0001758"," ALDH1A3  AKR1C3"
0.0368007955930871,2,9,32.7116736990155,"GO:0047044 Androstan-3-alpha,17-beta-diol dehydrogenase activity ","https://amigo.geneontology.org/amigo/term/GO:0047044"," AKR1C1  AKR1C3"
0.0400023367726354,3,37,11.9353404036948,"GO:0016709 Oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen nad(p)h as one donor and incorporation of one atom of oxygen ","https://amigo.geneontology.org/amigo/term/GO:0016709"," AKR1C1  AKR1C3  CYP1A1"
0.0400023367726354,6,190,4.64850099933378,"GO:0031406 Carboxylic acid binding ","https://amigo.geneontology.org/amigo/term/GO:0031406"," SESN2  FABP6  AKR1C1  AKR1C3  ID3  S100A9"
0.0400023367726354,29,2428,1.75818509790837,"GO:0042802 Identical protein binding ","https://amigo.geneontology.org/amigo/term/GO:0042802"," BAX  HMOX1  SLC5A5  GADD45A  APOE  GDF15  IER5  DDIT3  ALDH1A3  CSF1  TNF  ACHE  RELB  ANGPTL4  MGLL  FHL2  TGFBI  IRAK2  LMO2  LCN2  ATF3  SPATA18  AQP3  BEST1  CAVIN1  MAF  UPP1  CYSRT1  CCL5"
0.0400023367726354,2,10,29.4405063291139,"GO:0047045 Testosterone 17-beta-dehydrogenase (nadp+) activity ","https://amigo.geneontology.org/amigo/term/GO:0047045"," AKR1C1  AKR1C3"
0.0464364152362048,2,11,26.7640966628308,"GO:0032052 Bile acid binding ","https://amigo.geneontology.org/amigo/term/GO:0032052"," AKR1C1  AKR1C3"
0.0486968620835198,6,202,4.37235242511593,"GO:0043177 Organic acid binding ","https://amigo.geneontology.org/amigo/term/GO:0043177"," SESN2  FABP6  AKR1C1  AKR1C3  ID3  S100A9"
0.0520084652751438,2,12,24.5337552742616,"GO:0004032 Aldose reductase (nadph) activity ","https://amigo.geneontology.org/amigo/term/GO:0004032"," AKR1C1  AKR1C3"
0.0576285681344654,10,527,2.79321691927077,"GO:0140297 Dna-binding transcription factor binding ","https://amigo.geneontology.org/amigo/term/GO:0140297"," LMO2  FHL2  ID3  SOX9  ATOH8  DDIT3  EPAS1  GABARAPL1  PARP10  OASL"
0.0644130362416078,3,47,9.39590627524912,"GO:0005504 Fatty acid binding ","https://amigo.geneontology.org/amigo/term/GO:0005504"," FABP6  ID3  S100A9"
